law_id,title,candidate_grade,pending_items,events_total,events_dv_html,events_dv_pdf,events_unlocated,events_dv_offline,pdf_pages_estimate,base_source,dv_identifier
kodeks-za-profesionalna-etika-na-magistar-farmatsevta,КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА МАГИСТЪР-ФАРМАЦЕВТА,B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
kodeks-za-profesionalna-etika-na-meditsinskite-sestri-akusherkite-i-asotsiiranit,"КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА МЕДИЦИНСКИТЕ СЕСТРИ, АКУШЕРКИТЕ И АСОЦИИРАНИТЕ МЕДИЦИНСКИ СПЕЦИАЛИСТИ",B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
kodeks-za-profesionalna-etika-na-spetsialistite-po-zabotehnika,КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА СПЕЦИАЛИСТИТЕ ПО ЗЪБОТЕХНИКА,B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
kodeks-za-sotsialno-osiguryavane-zagl-izm-dv-br-67-ot-2003-g,"КОДЕКС ЗА СОЦИАЛНО ОСИГУРЯВАНЕ (ЗАГЛ. ИЗМ. - ДВ, БР. 67 ОТ 2003 Г.)",B-pending,events_pending;chain_scan;base_audit;freeze,187,30,12,145,0,27,dv_pdf,
kodeks-za-zastrahovaneto,КОДЕКС ЗА ЗАСТРАХОВАНЕТО,B-pending,events_pending;chain_scan;base_audit;freeze,40,4,0,36,0,0,dv_html,dv-99637
konstitutsiya-na-republika-balgariya,КОНСТИТУЦИЯ НА РЕПУБЛИКА БЪЛГАРИЯ,B-pending,events_pending;chain_scan;base_audit;freeze,8,0,0,8,0,3,dv_pdf,
nakazatelen-kodeks,НАКАЗАТЕЛЕН КОДЕКС,C,events_pending;chain_scan;freeze,141,29,32,63,17,89,dv_offline,
nakazatelno-protsesualen-kodeks,НАКАЗАТЕЛНО-ПРОЦЕСУАЛЕН КОДЕКС,B-pending,events_pending;chain_scan;base_audit;freeze,72,19,0,53,0,0,dv_html,dv-973
naredba-0-31-za-rabota-s-radiatsionni-defektoskopi,НАРЕДБА № 0-31 ЗА РАБОТА С РАДИАЦИОННИ ДЕФЕКТОСКОПИ,C,events_pending;chain_scan;freeze,1,0,0,0,1,0,dv_offline,
naredba-04-14-ot-9-oktomvri-2019-g-za-usloviyata-i-reda-za-sertifitsirane-na-bal,"НАРЕДБА № 04-14 ОТ 9 ОКТОМВРИ 2019 Г. ЗА УСЛОВИЯТА И РЕДА ЗА СЕРТИФИЦИРАНЕ НА ""БАЛНЕОЛЕЧЕБЕН (МЕДИКЪЛ СПА) ЦЕНТЪР"", ""СПА ЦЕНТЪР"", ""УЕЛНЕС ЦЕНТЪР"" И ""ТАЛАСОТЕРАПЕВТИЧЕН ЦЕНТЪР""",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-142132
naredba-1-03-ot-9-yuli-2003-g-za-udostoyavane-sas-zvaniya-na-sportisti-i-trenyor,НАРЕДБА № 1-03 ОТ 9 ЮЛИ 2003 Г. ЗА УДОСТОЯВАНЕ СЪС ЗВАНИЯ НА СПОРТИСТИ И ТРЕНЬОРИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,0,dv_html,dv-109150
naredba-1-ot-1-avgust-2013-g-za-usloviyata-i-reda-za-sahranyavane-na-zapasi-po-z,НАРЕДБА № 1 ОТ 1 АВГУСТ 2013 Г. ЗА УСЛОВИЯТА И РЕДА ЗА СЪХРАНЯВАНЕ НА ЗАПАСИ ПО ЗАКОНА ЗА ЗАПАСИТЕ ОТ НЕФТ И НЕФТОПРОДУКТИ,B-pending,events_pending;chain_scan;base_audit;freeze,2,1,0,1,0,0,dv_html,dv-78013
naredba-1-ot-1-avgust-2018-g-za-spetsifichnite-iziskvaniya-za-postapvane-na-darz,"НАРЕДБА № 1 ОТ 1 АВГУСТ 2018 Г. ЗА СПЕЦИФИЧНИТЕ ИЗИСКВАНИЯ ЗА ПОСТЪПВАНЕ НА ДЪРЖАВНА СЛУЖБА В ДИРЕКЦИЯТА ПО ГЛАВА ДЕВЕТА ""ПРОТИВОДЕЙСТВИЕ НА КОРУПЦИЯТА ЧРЕЗ РАЗКРИВАНЕ НА ПРОЯВИ НА ЛИЦА, ЗАЕМАЩИ ВИСШИ ПУБЛИЧНИ ДЛЪЖНОСТИ"" ОТ ЗАКОНА ЗА ПРОТИВОДЕЙСТВИЕ НА КОРУПЦИЯТА И ОТНЕМАНЕ НА НЕЗАКОННО ПРИДОБИТОТО ИМУЩЕСТВО",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-129152
naredba-1-ot-1-dekemvri-2022-g-za-priemane-na-farmako-terapevtichno-rakovodstvo-,НАРЕДБА № 1 ОТ 1 ДЕКЕМВРИ 2022 Г. ЗА ПРИЕМАНЕ НА ФАРМАКО-ТЕРАПЕВТИЧНО РЪКОВОДСТВО ПО АКУШЕРСТВО И ГИНЕКОЛОГИЯ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-181444
naredba-1-ot-1-fevruari-2019-g-za-pridobivane-na-yuridicheska-pravosposobnost,НАРЕДБА № 1 ОТ 1 ФЕВРУАРИ 2019 Г. ЗА ПРИДОБИВАНЕ НА ЮРИДИЧЕСКА ПРАВОСПОСОБНОСТ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-134549
naredba-1-ot-1-yuli-2016-g-za-odobryavane-na-metodika-za-prilagane-na-izklyuchen,НАРЕДБА № 1 ОТ 1 ЮЛИ 2016 Г. ЗА ОДОБРЯВАНЕ НА МЕТОДИКА ЗА ПРИЛАГАНЕ НА ИЗКЛЮЧЕНИЯТА ПО ЧЛ. 156Б - 156Е ОТ ЗАКОНА ЗА ВОДИТЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-105420
naredba-1-ot-10-april-2006-g-za-pridobivane-ili-priznavane-na-pravosposobnost-za,НАРЕДБА № 1 ОТ 10 АПРИЛ 2006 Г. ЗА ПРИДОБИВАНЕ ИЛИ ПРИЗНАВАНЕ НА ПРАВОСПОСОБНОСТ ЗА РАБОТА С ЕЛЕКТРОКАРИ И МОТОКАРИ В ПРЕДПРИЯТИЯТА,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-1846
naredba-1-ot-10-mart-2011-g-za-reda-i-usloviyata-za-vodene-sahranyavane-i-dostap,"НАРЕДБА № 1 ОТ 10 МАРТ 2011 Г. ЗА РЕДА И УСЛОВИЯТА ЗА ВОДЕНЕ, СЪХРАНЯВАНЕ И ДОСТЪП ДО РЕГИСТЪРА НА ДОСТАВЧИЦИТЕ НА УДОСТОВЕРИТЕЛНИ УСЛУГИ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-47036
naredba-1-ot-10-oktomvri-2006-g-za-reda-i-usloviyata-za-registrirane-zalichavane,"НАРЕДБА № 1 ОТ 10 ОКТОМВРИ 2006 Г. ЗА РЕДА И УСЛОВИЯТА ЗА РЕГИСТРИРАНЕ, ЗАЛИЧАВАНЕ ОТ РЕГИСТЪРА НА ДЕСТИЛЕРИИ, ИЗВЪРШВАЩИ ЗАДЪЛЖИТЕЛНА ДЕСТИЛАЦИЯ НА ВТОРИЧНИТЕ ПРОДУКТИ ОТ ВИНОПРОИЗВОДСТВОТО, ТЕХНОЛОГИЧНИ ДНЕВНИЦИ, НАЧИН ЗА ВОДЕНЕТО ИМ И КОНТРОЛА ВЪРХУ РЕГИСТРИРАНИТЕ ЛИЦА И ДЕЙНОСТТА ИМ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-2811
naredba-1-ot-10-oktomvri-2007-g-za-prouchvane-polzvane-i-opazvane-na-podzemnite-,"НАРЕДБА № 1 ОТ 10 ОКТОМВРИ 2007 Г. ЗА ПРОУЧВАНЕ, ПОЛЗВАНЕ И ОПАЗВАНЕ НА ПОДЗЕМНИТЕ ВОДИ",B-pending,events_pending;chain_scan;base_audit;freeze,5,3,0,2,0,0,dv_html,dv-4367
naredba-1-ot-10-septemvri-1996-g-za-proektirane-na-plosko-fundirane,НАРЕДБА № 1 ОТ 10 СЕПТЕМВРИ 1996 Г. ЗА ПРОЕКТИРАНЕ НА ПЛОСКО ФУНДИРАНЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-1-ot-10-yanuari-2003-g-za-vpisvane-v-registara-na-korabite,НАРЕДБА № 1 ОТ 10 ЯНУАРИ 2003 Г. ЗА ВПИСВАНЕ В РЕГИСТЪРА НА КОРАБИТЕ,B-pending,events_pending;chain_scan;base_audit;freeze,5,4,0,1,0,0,dv_html,dv-100312
naredba-1-ot-10-yanuari-2003-g-za-zdravnite-iziskvaniya-kam-zhivotnite-pri-vnos-,"НАРЕДБА № 1 ОТ 10 ЯНУАРИ 2003 Г. ЗА ЗДРАВНИТЕ ИЗИСКВАНИЯ КЪМ ЖИВОТНИТЕ ПРИ ВНОС НА ГОВЕДА, ОВЦЕ, КОЗИ И СВИНЕ И ВЕТЕРИНАРНО-САНИТАРНИТЕ ИЗИСКВАНИЯ ПРИ ВНОС НА ПРОДУКТИ ОТ ЖИВОТИНСКИ ПРОИЗХОД ЗА ЧОВЕШКА КОНСУМАЦИЯ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-100296
naredba-1-ot-10-yuni-2022-g-za-usloviyata-i-reda-za-finansirane-na-proekti-po-na,НАРЕДБА № 1 ОТ 10 ЮНИ 2022 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ФИНАНСИРАНЕ НА ПРОЕКТИ ПО НАЦИОНАЛНИ ПРОГРАМИ ЗА МЛАДЕЖТА,B-pending,events_pending;chain_scan;base_audit;freeze,3,1,0,2,0,0,dv_html,dv-174253
naredba-1-ot-11-april-2003-g-za-uchebno-izpitnite-programi-za-darzhavnite-zrelos,НАРЕДБА № 1 ОТ 11 АПРИЛ 2003 Г. ЗА УЧЕБНО-ИЗПИТНИТЕ ПРОГРАМИ ЗА ДЪРЖАВНИТЕ ЗРЕЛОСТНИ ИЗПИТИ,B-pending,events_pending;chain_scan;base_audit;freeze,5,5,0,0,0,0,dv_html,dv-104511
naredba-1-ot-11-april-2011-g-za-monitoring-na-vodite,НАРЕДБА № 1 ОТ 11 АПРИЛ 2011 Г. ЗА МОНИТОРИНГ НА ВОДИТЕ,B-pending,events_pending;chain_scan;base_audit;freeze,4,3,0,1,0,0,dv_html,dv-48752
naredba-1-ot-11-yanuari-2007-g-za-usloviyata-i-reda-za-provezhdane-na-meditsinsk,"НАРЕДБА № 1 ОТ 11 ЯНУАРИ 2007 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРОВЕЖДАНЕ НА МЕДИЦИНСКИТЕ ДЕЙНОСТИ, СВЪРЗАНИ С ЛЕЧЕНИЕТО НА ЛИЦАТА С ПСИХИЧНИ РАЗСТРОЙСТВА",B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-3201
naredba-1-ot-12-avgust-2016-g-za-priemane-i-premestvane-na-detsa-i-uchenitsi-v-u,НАРЕДБА № 1 ОТ 12 АВГУСТ 2016 Г. ЗА ПРИЕМАНЕ И ПРЕМЕСТВАНЕ НА ДЕЦА И УЧЕНИЦИ В УЧИЛИЩАТА ПО КУЛТУРА,B-pending,events_pending;chain_scan;base_audit;freeze,5,4,0,1,0,0,dv_html,dv-106791
naredba-1-ot-12-fevruari-2008-g-za-usloviyata-i-reda-za-vklyuchvane-na-nauchnoiz,"НАРЕДБА № 1 ОТ 12 ФЕВРУАРИ 2008 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ВКЛЮЧВАНЕ НА НАУЧНОИЗСЛЕДОВАТЕЛСКИ ОРГАНИЗАЦИИ СЪС СЕДАЛИЩЕ В РЕПУБЛИКА БЪЛГАРИЯ В НАЦИОНАЛНИЯ СПИСЪК НА НАУЧНОИЗСЛЕДОВАТЕЛСКИТЕ ОРГАНИЗАЦИИ, КОИТО МОГАТ ДА ПРИЕМАТ ЧУЖДЕНЦИ ЗА РАЗРАБОТВАНЕ НА НАУЧНОИЗСЛЕДОВАТЕЛСКИ ПРОЕКТИ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-4860
naredba-1-ot-12-fevruari-2010-g-za-sastava-zadachite-i-deynostta-na-pedagogiches,"НАРЕДБА № 1 ОТ 12 ФЕВРУАРИ 2010 Г. ЗА СЪСТАВА, ЗАДАЧИТЕ И ДЕЙНОСТТА НА ПЕДАГОГИЧЕСКИЯ СЪВЕТ КЪМ ПОПРАВИТЕЛНИЯ ДОМ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-29985
naredba-1-ot-12-mart-2018-g-za-usloviyata-i-reda-za-izdavane-na-razreshenie-za-o,"НАРЕДБА № 1 ОТ 12 МАРТ 2018 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ИЗДАВАНЕ НА РАЗРЕШЕНИЕ ЗА ОТГЛЕЖДАНЕ НА РАСТЕНИЯ ОТ РОДА НА КОНОПА (КАНАБИС), ПРЕДНАЗНАЧЕНИ ЗА ВЛАКНО, СЕМЕНА ЗА ФУРАЖ И ХРАНА И СЕМЕНА ЗА ПОСЕВ, СЪС СЪДЪРЖАНИЕ ПОД 0,3 ТЕГЛОВНИ ПРОЦЕНТА НА ТЕТРАХИДРОКАНАБИНОЛ, ОПРЕДЕЛЕНО В ЛИСТНАТА МАСА, ЦВЕТНИТЕ И ПЛОДНИТЕ ВРЪХЧЕТА, ЗА ТЪРГОВИЯ И КОНТРОЛ (ЗАГЛ. ИЗМ. - ДВ, БР. 40 ОТ 2023 Г., В СИЛА ОТ 05.05.2023 Г.)",B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,2,1,0,1,0,0,unlocated,
naredba-1-ot-12-septemvri-2019-g-za-priemane-na-farmako-terapevtichno-rakovodstv,НАРЕДБА № 1 ОТ 12 СЕПТЕМВРИ 2019 Г. ЗА ПРИЕМАНЕ НА ФАРМАКО-ТЕРАПЕВТИЧНО РЪКОВОДСТВО ПО НУКЛЕАРНА МЕДИЦИНА,B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,0,dv_html,dv-141565
naredba-1-ot-12-yanuari-1996-g-za-avtotehnicheski-ekspertizi,НАРЕДБА № 1 ОТ 12 ЯНУАРИ 1996 Г. ЗА АВТОТЕХНИЧЕСКИ ЕКСПЕРТИЗИ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-1-ot-12-yanuari-2009-g-za-usloviyata-i-reda-za-ustroystvoto-i-bezopasnos,НАРЕДБА № 1 ОТ 12 ЯНУАРИ 2009 Г. ЗА УСЛОВИЯТА И РЕДА ЗА УСТРОЙСТВОТО И БЕЗОПАСНОСТТА НА ПЛОЩАДКИТЕ ЗА ИГРА,B-pending,events_pending;chain_scan;base_audit;freeze,5,5,0,0,0,0,dv_html,dv-14466
naredba-1-ot-12-yuli-2022-g-za-usloviyata-i-reda-za-predostavyane-na-izvanredna-,НАРЕДБА № 1 ОТ 12 ЮЛИ 2022 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРЕДОСТАВЯНЕ НА ИЗВЪНРЕДНА ФИНАНСОВА ПОМОЩ НА ЗЕМЕДЕЛСКИТЕ СТОПАНИ ОТ ОПРЕДЕЛЕНИ СЕКТОРИ,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-174847
naredba-1-ot-13-fevruari-1998-g-za-usloviyata-i-reda-za-utvarzhdavane-na-vremenn,"НАРЕДБА № 1 ОТ 13 ФЕВРУАРИ 1998 Г. ЗА УСЛОВИЯТА И РЕДА ЗА УТВЪРЖДАВАНЕ НА ВРЕМЕННИ НОРМИ ЗА ЕМИСИИ НА ВРЕДНИ ВЕЩЕСТВА, ИЗПУСКАНИ В АТМОСФЕРНИЯ ВЪЗДУХ ОТ НЕПОДВИЖНИ ДЕЙСТВАЩИ ОБЕКТИ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-1-ot-13-fevruari-2007-g-za-polzvane-i-izplashtane-na-parichnite-pomoshti,НАРЕДБА № 1 ОТ 13 ФЕВРУАРИ 2007 Г. ЗА ПОЛЗВАНЕ И ИЗПЛАЩАНЕ НА ПАРИЧНИТЕ ПОМОЩИ ЗА ПРОФИЛАКТИКА И РЕХАБИЛИТАЦИЯ,B-pending,events_pending;chain_scan;base_audit;freeze,14,7,0,7,0,0,dv_html,dv-3329
naredba-1-ot-13-noemvri-2025-g-za-formata-i-sadarzhanieto-na-balansa-na-balgarsk,НАРЕДБА № 1 ОТ 13 НОЕМВРИ 2025 Г. ЗА ФОРМАТА И СЪДЪРЖАНИЕТО НА БАЛАНСА НА БЪЛГАРСКАТА НАРОДНА БАНКА,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-239224
naredba-1-ot-13-yanuari-2021-g-za-veterinarnomeditsinskite-iziskvaniya-i-merkite,НАРЕДБА № 1 ОТ 13 ЯНУАРИ 2021 Г. ЗА ВЕТЕРИНАРНОМЕДИЦИНСКИТЕ ИЗИСКВАНИЯ И МЕРКИТЕ ЗА БИОСИГУРНОСТ КЪМ ЖИВОТНОВЪДНИТЕ ОБЕКТИ ЗА РИБА И ДРУГИ ВОДНИ ОРГАНИЗМИ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-155135
naredba-1-ot-13-yanuari-2023-g-za-registara-na-vsichki-deystvashti-prekasnali-i-,"НАРЕДБА № 1 ОТ 13 ЯНУАРИ 2023 Г. ЗА РЕГИСТЪРА НА ВСИЧКИ ДЕЙСТВАЩИ, ПРЕКЪСНАЛИ И ЗАВЪРШИЛИ СТУДЕНТИ И ДОКТОРАНТИ ПО СТЕПЕНИ НА ОБУЧЕНИЕ И ПО ПРОФЕСИОНАЛНИ НАПРАВЛЕНИЯ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-184003
naredba-1-ot-13-yanuari-2025-g-za-proverkite-izvarshvani-ot-darzhavna-agentsiya-,"НАРЕДБА № 1 ОТ 13 ЯНУАРИ 2025 Г. ЗА ПРОВЕРКИТЕ, ИЗВЪРШВАНИ ОТ ДЪРЖАВНА АГЕНЦИЯ ""ДЪРЖАВЕН РЕЗЕРВ И ВОЕННОВРЕМЕННИ ЗАПАСИ"" ПО ЗАКОНА ЗА ЗАПАСИТЕ ОТ НЕФТ И НЕФТОПРОДУКТИ",B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-232197
naredba-1-ot-14-fevruari-2007-g-za-vodene-sahranyavane-i-dostap-do-targovskiya-r,"НАРЕДБА № 1 ОТ 14 ФЕВРУАРИ 2007 Г. ЗА ВОДЕНЕ, СЪХРАНЯВАНЕ И ДОСТЪП ДО ТЪРГОВСКИЯ РЕГИСТЪР И ДО РЕГИСТЪРА НА ЮРИДИЧЕСКИТЕ ЛИЦА С НЕСТОПАНСКА ЦЕЛ (ЗАГЛ. ИЗМ. - ДВ, БР. 77 ОТ 2017 Г., В СИЛА ОТ 01.01.2018 Г.)",B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,18,6,0,12,0,0,unlocated,
naredba-1-ot-14-mart-2017-g-za-regulirane-na-tsenite-na-elektricheskata-energiya,НАРЕДБА № 1 ОТ 14 МАРТ 2017 Г. ЗА РЕГУЛИРАНЕ НА ЦЕНИТЕ НА ЕЛЕКТРИЧЕСКАТА ЕНЕРГИЯ,B-pending,events_pending;chain_scan;base_audit;freeze,7,3,0,4,0,0,dv_html,dv-112874
naredba-1-ot-14-oktomvri-2013-g-za-kariernoto-razvitie-na-diplomaticheskite-sluz,НАРЕДБА № 1 ОТ 14 ОКТОМВРИ 2013 Г. ЗА КАРИЕРНОТО РАЗВИТИЕ НА ДИПЛОМАТИЧЕСКИТЕ СЛУЖИТЕЛИ И РОТАЦИЯТА НА СЛУЖИТЕЛИТЕ В ДИПЛОМАТИЧЕСКАТА СЛУЖБА,B-pending,events_pending;chain_scan;base_audit;freeze,1,1,0,0,0,0,dv_html,dv-79685
naredba-1-ot-15-avgust-2002-g-za-usloviyata-i-reda-za-izdavane-na-razresheniya-z,НАРЕДБА № 1 ОТ 15 АВГУСТ 2002 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ИЗДАВАНЕ НА РАЗРЕШЕНИЯ ЗА ИЗВЪРШВАНЕ НА ДЕЙНОСТ С НЕСТОПАНСКА ЦЕЛ ОТ ЧУЖДЕНЦИ В РЕПУБЛИКА БЪЛГАРИЯ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,4,dv_pdf,
naredba-1-ot-15-fevruari-2019-g-za-usloviyata-i-reda-za-obuchenie-na-kandidatite,НАРЕДБА № 1 ОТ 15 ФЕВРУАРИ 2019 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОБУЧЕНИЕ НА КАНДИДАТИТЕ ЗА ПРИДОБИВАНЕ НА ПРАВОСПОСОБНОСТ ЗА РАБОТА СЪС ЗЕМЕДЕЛСКА И ГОРСКА ТЕХНИКА И УСЛОВИЯТА И РЕДА ЗА ИЗДАВАНЕ НА УДОСТОВЕРЕНИЕ ЗА РЕГИСТРАЦИЯ НА УЧЕБНИ ФОРМИ ЗА ТЯХНОТО ОБУЧЕНИЕ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-135022
